name,omegaRefPu,terminal_V_re,terminal_V_im,extra
BESScbWeccCurrentSource,BESScb_omegaRefPu,BESScb_terminal_V_re,BESScb_terminal_V_im,
GeneratorSynchronousFourWindings,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGGov2EsSt4bPss2a,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGGov2EsSt4bPss2aTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGGov2St1aPss2a,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGGov2St1aPss2aTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGastEsSt4bPss2a,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGastEsSt4bPss2aTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGovCt2St4b,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGovSteam1St4b,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGovSteam1St4bPss2b,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGovSteamEuSt4b,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverCc1VREsst4,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverCc1VREsst4AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverCc1VREsst4Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverCc2VREsst4,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverCc2VREsst4AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverCc2VREsst4Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverChVRCh,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverChVRChTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverChVRUnitrolChPss2a,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverChVRUnitrolChPss2aTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDescVRDedc2,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDescVRDedc2PssGermany,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDescVRDedc2PssGermanyTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDescVRDedc2Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDescVRDest1Pss1aPGen,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDescVRDest1Pss1aPGenTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDescVRDest1PssGermany2,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDescVRDest1PssGermany2Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDk6GtVRDk6,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDk6GtVRDk6AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDk6GtVRDk6Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDk6StVRDk6,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDk6StVRDk6AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDk6StVRDk6Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDynDBandVRP320,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDynDBandVRP320AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverDynDBandVRP320Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur1eVR4Edf1,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur1eVR4Edf1AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur1eVR4Edf1RpclContTfoAux,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_QMax|reactivePowerControlLoop_QMin|reactivePowerControlLoop_QOffSet|reactivePowerControlLoop_QRefManualPu|reactivePowerControlLoop_level
GeneratorSynchronousFourWindingsGoverEdfTur1eVR4Edf1RpclDispaTfoAux,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_QMax|reactivePowerControlLoop_QMin|reactivePowerControlLoop_QOffSet|reactivePowerControlLoop_QRefManualPu|reactivePowerControlLoop_level
GeneratorSynchronousFourWindingsGoverEdfTur1eVR4Edf1RpclNonLinTfoAux,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_QMax|reactivePowerControlLoop_QMin|reactivePowerControlLoop_QOffSet|reactivePowerControlLoop_QRefManualPu|reactivePowerControlLoop_level
GeneratorSynchronousFourWindingsGoverEdfTur1eVR4Edf1Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur1eVRJiren,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur1eVRJirenAuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur1eVRJirenTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur2eVR4Edf1,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur2eVR4Edf1AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur2eVR4Edf1Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur2eVRAlst,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur2eVRAlstAuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur2eVRAlstTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur3cVR4Alst,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur3cVR4AlstAuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur3cVR4AlstTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur3cVRHuchet,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur3cVRHuchetAuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur3cVRHuchetTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur4eVR4Edf1,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur4eVR4Edf1AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur4eVR4Edf1Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur5eVR4Edf1,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur5eVR4Edf1AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur5eVR4Edf1Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur6eVR4Edf1,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur6eVR4Edf1AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTur6eVR4Edf1Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTurHcVRHydrH,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTurHcVRHydrHAuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTurHcVRHydrHTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTurHcVRPssGt,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTurHcVRPssGtAuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEdfTurHcVRPssGtTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEprVRAlst,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEprVRAlstTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEprVREpr,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverEprVREprTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverGt1VRSemipol2,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverGt1VRSemipol2AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverGt1VRSemipol2Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverGt2VRSemipol2,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverGt2VRSemipol2AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverGt2VRSemipol2Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverItalyThVRItalyPssItaly,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverItalyThVRItalyPssItalyTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverPl2VRPl2,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverPl2VRPl2AuxTfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverPl2VRPl2Tfo,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverPropVRPropInt,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverPropVRPropIntAuxUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,underVoltageAutomaton_UMonitoredPu
GeneratorSynchronousFourWindingsGoverPropVRPropIntQlimAuxUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,underVoltageAutomaton_UMonitoredPu
GeneratorSynchronousFourWindingsGoverPropVRPropIntQlimRpcl2AuxUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value|underVoltageAutomaton_UMonitoredPu
GeneratorSynchronousFourWindingsGoverPropVRPropIntQlimRpcl2TfoAuxUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value
GeneratorSynchronousFourWindingsGoverPropVRPropIntQlimRpcl2TfoUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value
GeneratorSynchronousFourWindingsGoverPropVRPropIntQlimRpcl2Uva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value|underVoltageAutomaton_UMonitoredPu
GeneratorSynchronousFourWindingsGoverPropVRPropIntQlimRpclAuxUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value|underVoltageAutomaton_UMonitoredPu
GeneratorSynchronousFourWindingsGoverPropVRPropIntQlimRpclTfoAuxUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value
GeneratorSynchronousFourWindingsGoverPropVRPropIntQlimRpclTfoUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value
GeneratorSynchronousFourWindingsGoverPropVRPropIntQlimRpclUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value|underVoltageAutomaton_UMonitoredPu
GeneratorSynchronousFourWindingsGoverPropVRPropIntQlimTfoAuxUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverPropVRPropIntQlimTfoUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,
GeneratorSynchronousFourWindingsGoverPropVRPropIntQlimUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,underVoltageAutomaton_UMonitoredPu
GeneratorSynchronousFourWindingsGoverPropVRPropIntRpcl2AuxUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value|underVoltageAutomaton_UMonitoredPu
GeneratorSynchronousFourWindingsGoverPropVRPropIntRpcl2TfoAuxUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value
GeneratorSynchronousFourWindingsGoverPropVRPropIntRpcl2TfoUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value
GeneratorSynchronousFourWindingsGoverPropVRPropIntRpcl2Uva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value|underVoltageAutomaton_UMonitoredPu
GeneratorSynchronousFourWindingsGoverPropVRPropIntRpclAuxUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value|underVoltageAutomaton_UMonitoredPu
GeneratorSynchronousFourWindingsGoverPropVRPropIntRpclTfoAuxUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value
GeneratorSynchronousFourWindingsGoverPropVRPropIntRpclTfoUva,generator_omegaRefPu_value,generator_terminal_V_re,generator_terminal_V_im,reactivePowerControlLoop_areaActive_value|reactivePowerControlLoop_groupParticipating_value|reactivePowerControlLoop_levelK_value|reactivePowerControlLoop_levelKValid_value
